year,gpu_name_clean,retail_price,used_price,wattage,vram,3dmark
2024,radeon rx 6500 xt,139.0,91.0,107.0,4.0,4973
2024,radeon rx 7900 xtx,959.0,897.0,355.0,24.0,29246
2024,radeon rx 7900 xtx,928.0,840.0,355.0,24.0,29246
2024,radeon rx 6600,197.0,148.0,132.0,8.0,8158
2024,radeon rx 6500 xt,175.0,77.0,107.0,4.0,4973
2024,radeon rx 6400,139.0,102.0,53.0,4.0,3622
2024,radeon rx 6600,199.0,159.0,132.0,8.0,8158
2024,radeon rx 7900 xt,701.0,678.0,315.0,20.0,25617
2024,radeon rx 6600,199.0,165.0,132.0,8.0,8158
2024,radeon rx 6400,154.0,109.0,53.0,4.0,3622
2024,radeon rx 7900 xtx,917.0,756.0,355.0,24.0,29246
2024,radeon rx 7900 xt,699.0,652.0,315.0,20.0,25617
2024,radeon rx 6600,195.0,167.0,132.0,8.0,8158
2024,radeon rx 6400,156.0,102.0,53.0,4.0,3622
2024,radeon rx 7900 xt,692.0,639.0,315.0,20.0,25617
2024,radeon rx 6600,193.0,168.0,132.0,8.0,8158
2024,radeon rx 6500 xt,145.0,90.0,107.0,4.0,4973
2024,radeon rx 7900 xtx,901.0,754.0,355.0,24.0,29246
2024,radeon rx 6400,146.0,110.0,53.0,4.0,3622
2024,radeon rx 6500 xt,163.0,80.0,107.0,4.0,4973
2024,radeon rx 7900 xt,700.0,636.0,315.0,20.0,25617
2024,radeon rx 7900 xt,696.0,630.0,315.0,20.0,25617
2024,radeon rx 6500 xt,168.0,78.0,107.0,4.0,4973
2024,radeon rx 7900 xtx,911.0,789.0,355.0,24.0,29246
2024,radeon rx 7900 xt,697.0,645.0,315.0,20.0,25617
2024,radeon rx 6500 xt,177.0,79.0,107.0,4.0,4973
2024,radeon rx 6800 xt,777.0,360.0,300.0,16.0,19187
2024,radeon rx 6600,198.0,163.0,132.0,8.0,8158
2024,radeon rx 7600,263.0,350.0,165.0,8.0,10817
2024,radeon rx 7600,265.0,231.0,165.0,8.0,10817
2024,radeon rx 6800,407.0,348.0,250.0,16.0,15972
2024,radeon rx 7600,257.0,230.0,165.0,8.0,10817
2024,radeon rx 6800,412.0,346.0,250.0,16.0,15972
2024,radeon rx 6800,427.0,350.0,250.0,16.0,15972
2024,radeon rx 7600,246.0,217.0,165.0,8.0,10817
2024,radeon rx 6750 xt,341.0,291.0,250.0,12.0,13595
2024,radeon rx 7600,250.0,217.0,165.0,8.0,10817
2024,radeon rx 6750 xt,300.0,286.0,250.0,12.0,13595
2024,radeon rx 7600,254.0,214.0,165.0,8.0,10817
2024,radeon rx 6750 xt,327.0,289.0,250.0,12.0,13595
2024,radeon rx 7600,249.0,195.0,165.0,8.0,10817
2024,radeon rx 6750 xt,298.0,278.0,250.0,12.0,13595
2024,radeon rx 6750 xt,312.0,314.0,250.0,12.0,13595
2024,radeon rx 6750 xt,314.0,300.0,250.0,12.0,13595
2024,radeon rx 7600,247.0,192.0,165.0,8.0,10817
2024,radeon rx 6750 xt,301.0,281.0,250.0,12.0,13595
2024,radeon rx 7600,249.0,206.0,165.0,8.0,10817
2024,radeon rx 6750 xt,307.0,284.0,250.0,12.0,13595
2024,radeon rx 6750 xt,334.0,303.0,250.0,12.0,13595
2024,radeon rx 7600,257.0,214.0,165.0,8.0,10817
2024,radeon rx 6750 xt,342.0,310.0,250.0,12.0,13595
2024,radeon rx 7600 xt,326.0,327.0,190.0,16.0,11379
2024,radeon rx 6750 xt,372.0,313.0,250.0,12.0,13595
2024,radeon rx 7600 xt,329.0,436.0,190.0,16.0,11379
2024,radeon rx 6750 xt,372.0,328.0,250.0,12.0,13595
2024,radeon rx 7600 xt,320.0,533.0,190.0,16.0,11379
2024,radeon rx 7600 xt,305.0,360.0,190.0,16.0,11379
2024,radeon rx 6800,408.0,344.0,250.0,16.0,15972
2024,radeon rx 7600,259.0,248.0,165.0,8.0,10817
2024,radeon rx 6800,366.0,325.0,250.0,16.0,15972
2024,radeon rx 7600,267.0,279.0,165.0,8.0,10817
